City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Saint-Joseph,RE,2021-04-30 19:20:58,-21.3667,55.6167,75.2,83,0,6.91
207,Mehamn,NO,2021-04-30 19:18:30,71.0357,27.8492,30.2,80,20,1.14
208,Lompoc,US,2021-04-30 19:13:13,34.6391,-120.4579,71.01,82,40,11.5
209,Belmonte,BR,2021-04-30 19:20:58,-15.8631,-38.8828,78.8,65,40,8.05
210,Kavaratti,IN,2021-04-30 19:18:24,10.5669,72.642,84.47,73,16,6.89
211,Tobetsu,JP,2021-04-30 19:20:59,43.2169,141.5169,42.01,85,100,21.27
212,Lima Duarte,BR,2021-04-30 19:20:59,-21.8425,-43.7931,66.2,59,40,6.91
213,Ponta Do Sol,PT,2021-04-30 19:18:41,32.6667,-17.1,61.0,53,83,7.0
214,Emba,KZ,2021-04-30 19:20:59,48.8264,58.1442,51.58,44,0,7.65
215,Mar Del Plata,AR,2021-04-30 19:15:00,-38.0023,-57.5575,71.01,60,0,12.66
216,Marabba,SD,2021-04-30 19:20:59,12.35,32.1833,95.02,24,83,8.93
217,Itoman,JP,2021-04-30 19:21:00,26.1247,127.6694,71.6,88,40,13.8
218,Sao Jose Da Coroa Grande,BR,2021-04-30 19:17:04,-8.8978,-35.1478,80.64,75,100,11.14
219,Bankura,IN,2021-04-30 19:21:00,23.25,87.0667,77.0,69,75,5.75
220,Port Lincoln,AU,2021-04-30 19:18:42,-34.7333,135.8667,67.59,40,100,12.21
221,Hami,CN,2021-04-30 19:18:03,42.8,93.45,72.61,13,60,1.03
222,Beringovskiy,RU,2021-04-30 19:17:07,63.05,179.3167,24.8,87,100,5.41
223,Dikson,RU,2021-04-30 19:15:33,73.5069,80.5464,4.59,96,90,9.26
224,Ribeira Brava,PT,2021-04-30 19:18:21,32.65,-17.0667,61.0,74,58,2.24
225,Fram,PY,2021-04-30 19:21:01,-26.9833,-55.8833,82.4,30,0,5.75
226,Yakeshi,CN,2021-04-30 19:21:01,49.2833,120.7333,35.51,78,95,3.36
227,Ostersund,SE,2021-04-30 19:21:01,63.1792,14.6357,35.01,80,75,11.5
228,Pervomayskoye,RU,2021-04-30 19:21:02,43.919,46.7102,54.34,80,100,11.52
229,Shitkino,RU,2021-04-30 19:21:02,56.3703,98.3543,30.29,97,21,3.53
230,Lubango,AO,2021-04-30 19:21:02,-14.9172,13.4925,62.02,72,37,1.54
231,Garhi Khairo,PK,2021-04-30 19:21:03,28.0606,67.9803,90.93,21,28,5.01
232,Mantua,IT,2021-04-30 19:21:03,45.1667,10.7833,64.0,85,85,7.0
233,Durusu,TR,2021-04-30 19:21:03,41.3053,28.6767,66.2,63,0,3.44
234,Buraydah,SA,2021-04-30 19:18:30,26.326,43.975,82.4,23,0,4.61
235,Mount Gambier,AU,2021-04-30 19:18:29,-37.8333,140.7667,57.2,54,100,10.36
236,Mae Sai,TH,2021-04-30 19:21:04,20.4335,99.8762,75.2,94,0,3.44
237,Derzhavinsk,KZ,2021-04-30 19:21:04,51.1,66.3167,49.33,50,5,9.1
238,Vila Do Maio,CV,2021-04-30 19:16:09,15.1333,-23.2167,73.4,68,40,18.41
239,Tallahassee,US,2021-04-30 19:17:30,30.4383,-84.2807,87.01,58,75,10.36
240,Fuerte Olimpo,PY,2021-04-30 19:21:05,-21.0415,-57.8738,88.65,26,0,4.85
241,Termiz,UZ,2021-04-30 19:21:05,37.2242,67.2783,69.8,46,20,6.91
242,Carnarvon,AU,2021-04-30 19:18:25,-24.8667,113.6333,66.2,59,80,11.5
243,Copiapo,CL,2021-04-30 19:21:05,-27.3667,-70.3333,66.2,55,0,17.27
244,Ugoofaaru,MV,2021-04-30 19:21:06,5.6667,73.0,83.66,74,22,5.23
245,Potsdam,DE,2021-04-30 19:21:06,52.3989,13.0657,48.99,75,100,4.36
246,Padang,ID,2021-04-30 19:18:59,-0.9492,100.3543,78.04,86,97,3.56
